last_name, first_name,player_id,team_id,team,position,age,competitive_runs,hp_to_1b,sprint_speed
Buxton, Byron,621439,142,MIN,CF,24,34,3.98,30.5
Sierra, Magneuris,642423,146,MIA,CF,22,59,3.91,30.3
Andreoli, John,607430,110,BAL,LF,28,21,4.14,30.3
Hampson, Garrett,641658,115,COL,SS,23,18,,30.2
Quinn, Roman,596451,143,PHI,CF,25,53,3.88,30.2
Cordell, Ryan,641477,145,CWS,CF,26,8,,30.2
Engel, Adam,641553,145,CWS,CF,26,167,4.08,30.2
Hamilton, Billy,571740,113,CIN,CF,27,190,3.94,30.1
Turner, Trea,607208,120,WSH,SS,25,242,4.10,30.1
Bader, Harrison,664056,138,STL,CF,24,133,4.07,30.1
Straw, Myles,664702,117,HOU,LF,23,5,,30.1
DeShields, Delino,592261,140,TEX,CF,25,139,4.02,30.0
Mondesi, Adalberto,609275,118,KC,SS,22,90,4.07,29.9
Brito, Sócrates,593647,109,ARI,RF,25,11,,29.9
Galloway, Isaac,543194,146,MIA,CF,28,23,4.14,29.9
Smith, Mallex,605480,139,TB,CF,25,237,4.03,29.9
Broxton, Keon,542979,158,MIL,CF,28,30,4.17,29.8
Story, Trevor,596115,115,COL,SS,25,197,4.16,29.7
García, Adolis,666969,138,STL,,25,7,,29.7
O'Neill, Tyler,641933,138,STL,LF,23,26,4.11,29.7
Acuña Jr., Ronald,660670,144,ATL,LF,20,158,4.10,29.7
Gerber, Mike,595222,116,DET,LF,25,11,,29.6
Adams, Lane,572669,144,ATL,,28,12,,29.6
Shuck, JB,543776,146,MIA,RF,31,59,3.98,29.5
Swanson, Dansby,621020,144,ATL,SS,24,186,4.08,29.5
Negrón, Kristopher,502117,136,SEA,3B,32,14,,29.5
Rosario, Amed,642708,121,NYM,SS,22,245,4.14,29.5
Zimmer, Bradley,605548,114,CLE,CF,25,32,4.10,29.4
Kingery, Scott,664068,143,PHI,SS,24,146,4.10,29.4
Brinson, Lewis,621446,146,MIA,CF,24,144,4.20,29.4
Margot, Manuel,622534,135,SD,CF,23,200,4.19,29.4
Hermosillo, Michael,641684,108,LAA,RF,23,30,4.23,29.4
Mullins, Cedric,656775,110,BAL,CF,23,72,4.05,29.4
Berti, Jon,542932,141,TOR,2B,28,7,,29.3
Robles, Victor,645302,120,WSH,CF,21,19,,29.3
Davis, Jonathan,641505,141,TOR,CF,26,10,,29.3
Marisnick, Jake,545350,117,HOU,CF,27,64,4.24,29.3
Fisher, Derek,605233,117,HOU,LF,24,23,4.18,29.3
Trout, Mike,545361,108,LAA,CF,26,163,4.25,29.3
Hernández, César,514917,143,PHI,2B,28,225,4.13,29.2
Reyes, Victor,622682,116,DET,LF,23,104,4.20,29.2
Cordero, Franchy,614173,135,SD,LF,23,44,4.18,29.2
